aX,aY,aZ,gX,gY,gZ
-0.581,0.037,-1.006,31.189,14.221,10.559
-0.601,0.144,-0.923,36.621,20.325,-1.709
-0.598,0.291,-0.813,42.786,19.348,-6.165
-0.589,0.387,-0.691,47.058,14.099,-3.601
-0.609,0.469,-0.601,44.983,7.080,3.235
-0.623,0.537,-0.564,35.034,0.732,10.742
-0.646,0.582,-0.588,22.095,-1.709,15.564
-0.666,0.582,-0.614,11.047,-3.784,16.846
-0.652,0.526,-0.652,3.113,-6.042,13.733
-0.635,0.445,-0.714,-3.479,-7.324,9.216
-0.602,0.344,-0.801,-7.812,-9.521,4.578
-0.537,0.282,-0.879,-8.301,-13.123,0.244
-0.491,0.229,-0.891,-5.432,-16.968,-2.319
-0.453,0.183,-0.901,-2.625,-17.334,-3.967
-0.412,0.183,-0.931,-2.747,-14.404,-4.089
-0.374,0.198,-0.924,-2.319,-12.573,-2.869
-0.357,0.208,-0.917,-1.465,-10.681,-0.549
-0.381,0.229,-0.926,-1.831,-4.028,1.648
-0.403,0.243,-0.912,0.854,-2.625,6.348
-0.407,0.239,-0.871,5.127,-3.479,13.611
-0.466,0.219,-0.865,4.333,-2.014,13.184
-0.524,0.200,-0.881,1.282,-0.488,5.554
-0.549,0.169,-0.904,1.465,1.526,-3.296
-0.533,0.168,-0.914,4.456,2.441,-7.080
-0.505,0.223,-0.878,8.972,2.686,-8.301
-0.468,0.258,-0.817,13.184,3.113,-6.897
-0.473,0.318,-0.775,13.062,2.869,-2.563
-0.474,0.365,-0.753,10.376,2.380,2.136
-0.507,0.381,-0.745,7.385,1.099,6.897
-0.530,0.378,-0.746,5.066,-1.160,10.437
-0.531,0.361,-0.775,3.052,-3.113,10.132
-0.509,0.325,-0.813,2.136,-3.967,7.568
-0.479,0.275,-0.852,2.747,-4.211,4.089
-0.455,0.235,-0.888,3.601,-3.906,1.038
-0.443,0.212,-0.899,5.859,-2.808,-1.404
-0.429,0.198,-0.890,8.606,-1.770,-3.174
-0.421,0.187,-0.879,9.888,0.427,-4.456
-0.418,0.187,-0.886,10.010,3.723,-5.676
-0.405,0.198,-0.890,10.742,6.531,-5.676
-0.390,0.213,-0.890,12.146,8.057,-3.601
-0.390,0.229,-0.895,14.465,8.240,-0.061
-0.404,0.267,-0.884,17.883,6.897,4.211
