aX,aY,aZ,gX,gY,gZ
0.171,-0.749,0.308,-28.503,-7.446,-9.583
0.126,-0.882,0.463,-15.564,-17.334,-13.550
0.043,-0.975,0.564,-10.681,-18.738,-6.042
-0.034,-0.972,0.618,-9.705,-11.597,7.507
-0.036,-0.911,0.606,-10.803,1.526,20.935
0.007,-0.819,0.552,-14.709,14.221,30.334
0.053,-0.694,0.509,-18.433,20.630,34.973
0.106,-0.582,0.449,-21.667,22.644,32.776
0.138,-0.570,0.400,-22.095,17.761,23.865
0.151,-0.617,0.409,-15.930,5.859,11.719
0.127,-0.722,0.466,-6.714,-6.958,1.221
0.118,-0.827,0.558,3.479,-15.747,-2.686
0.065,-0.872,0.655,10.132,-17.761,2.197
0.005,-0.904,0.711,11.292,-14.038,13.428
-0.041,-0.879,0.742,8.850,-6.714,22.949
-0.041,-0.823,0.701,2.808,2.136,25.513
-0.010,-0.785,0.624,-3.601,7.080,23.193
0.014,-0.747,0.585,-5.249,6.531,17.151
0.023,-0.736,0.578,-3.357,3.906,10.681
0.018,-0.759,0.579,-0.122,2.502,7.141
0.026,-0.792,0.593,3.845,2.930,6.104
0.029,-0.832,0.599,5.859,3.967,7.568
0.036,-0.856,0.610,5.798,4.456,10.803
0.029,-0.875,0.618,5.066,4.700,13.489
0.020,-0.879,0.619,2.319,5.249,14.954
0.015,-0.864,0.610,-1.953,5.249,14.648
0.010,-0.845,0.583,-5.798,4.822,12.024
0.011,-0.827,0.563,-7.263,3.967,8.972
0.030,-0.818,0.561,-5.981,3.784,6.958
0.038,-0.811,0.560,-4.822,4.211,5.493
0.048,-0.814,0.555,-3.784,4.578,4.211
0.089,-0.869,0.545,-3.174,4.089,2.869
0.104,-0.906,0.574,-3.174,1.587,4.028
0.078,-0.925,0.614,-4.150,-0.854,8.301
0.075,-0.947,0.637,-6.165,0.916,13.489
0.102,-0.958,0.643,-9.338,3.906,17.639
0.110,-0.951,0.642,-14.038,3.784,19.958
0.102,-0.938,0.641,-18.372,0.793,21.484
0.085,-0.935,0.640,-20.935,-1.953,23.254
0.071,-0.928,0.644,-21.545,-2.686,24.963
0.072,-0.910,0.645,-21.545,-0.916,26.611
